first_name,last_name,email,city,uf,cep
Elliot,Alderson,elliot-alderson@email.com,New York,NY,00000-000
Edward,Alderson,edward-alderson@email.com,New York,NY,00000-000
Angela,Moss,angela-moss@email.com,New York,NY,00000-000
Darlene,Alderson,darlene-alderson@email.com,New York,NY,00000-000
Tyrell,Wellick,tyrell-wellick@email.com,New York,NY,00000-000
Joanna,Wellick,joanna-wellick@email.com,New York,NY,00000-000
Phillip,Price,phillip-price@email.com,New York,NY,00000-000
Whiterose,,whiterose@email.com,New York,NY,00000-000
Ollie,Parker,ollie-parker@email.com,New York,NY,00000-000
Krista,Gordon,krista-gordon@email.com,New York,NY,00000-000
Gideon,Goddard,gideon-goddard@email.com,New York,NY,00000-000
Shayla,Nico,shayla-nico@email.com,New York,NY,00000-000
Terry,Colby,terry-colby@email.com,New York,NY,00000-000
Scott,Knowles,scott-knowles@email.com,New York,NY,00000-000
Fernando,Vera,fernando-vera@email.com,New York,NY,00000-000
Leon,,leon@email.com,New York,NY,00000-000
Romero,,romero@email.com,New York,NY,00000-000
Trenton,,trenton@email.com,New York,NY,00000-000
Mobley,,mobley@email.com,New York,NY,00000-000
Cisco,,cisco@email.com,New York,NY,00000-000
Dominique,DiPierro,dominique-dipierro@email.com,New York,NY,00000-000
Ray,Heyworth,ray-heyworth@email.com,New York,NY,00000-000
Irving,,irving@email.com,New York,NY,00000-000
Sharon,Knowles,sharon-knowles@email.com,New York,NY,00000-000
Susan,Jacobs,susan-jacobs@email.com,New York,NY,00000-000
Sutherland,,sutherland@email.com,New York,NY,00000-000
Hot,Carla,hot-carla@email.com,New York,NY,00000-000
Grant,,grant@email.com,New York,NY,00000-000
Bill,Harper,bill-harper@email.com,New York,NY,00000-000
Rat,Tail,rat-taill@email.com,New York,NY,00000-000
Ron,,ron@email.com,New York,NY,00000-000
Frank,Cody,frank-cody@email.com,New York,NY,00000-000

